number,genname,busname,Pmin,Pmax,minON,minOFF,Gen_Type,InitStatus,InitHour,InitPow,SUCost,SDCost,No_Load_Cost,Ramp_Rate,SUTime,SDTime,Cost1,MW1,Cost2,MW2,Cost3,MW3,Cost4,MW4,Ri,PFR_up_Flag,PFR_dn_Flag,AGC_up_Flag,AGC_dn_Flag,Spin_Flag,NonSpin_Flag,PFR_up_Price,PFR_dn_Price,AGC_up_Price,AGC_dn_Price,Spin_Price,NonSpin_Price,Must_Run,Flexibility,RTPlanCommit
71,DPV40,436,0,0.305,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.305,0,0.305,0,0.305,0,0.305,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
72,DPV41,440,0,1.38,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.38,0,1.38,0,1.38,0,1.38,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
73,DPV42,443,0,1.501,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.501,0,1.501,0,1.501,0,1.501,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
74,DPV43,493,0,1.317,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.317,0,1.317,0,1.317,0,1.317,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
75,DPV44,534,0,0.534,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.534,0,0.534,0,0.534,0,0.534,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
76,DPV45,723,0,1.674,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.674,0,1.674,0,1.674,0,1.674,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
77,DPV46,729,0,1.596,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.596,0,1.596,0,1.596,0,1.596,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
78,DPV47,750,0,3.116,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,3.116,0,3.116,0,3.116,0,3.116,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
79,DPV48,803,0,3.387,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,3.387,0,3.387,0,3.387,0,3.387,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
80,DPV49,817,0,1.712,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.712,0,1.712,0,1.712,0,1.712,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
